time,type,trajectory,validation
54.6,truck,"[[228.5,62.21875,176,112.53125,null],[251.25,65.375,167,106.625,null],[265.75,68.5,157,98.875,null],[283,70,152.5,96.75,null],[300.5,70.25,144.5,94.5,null],[314.5,69.625,134,92.75,null],[340.5,76.1875,127.5,82.0625,null],[351,75.5625,119.5,78.1875,null],[364.75,77.25,116,75.625,null],[369.25,76.75,113,76.875,null],[381,77.375,110.5,73.5,null],[388.5,77.0625,110,73.9375,null]]",
56.3,car,"[[245.75,99.375,109.5,52.25,null],[264.75,99.8125,103,48.3125,null],[283.5,99,98.5,47,null],[295.25,99,95,44.125,null],[313,99.375,88.5,41.125,null],[329.5,99.5,84.5,39.875,null],[341.75,98.25,82,38.75,null],[354.5,95.5625,79.5,41.1875,null],[364.75,93.4375,75,40.5625,null]]",
57.1,car,"[[255.875,78.25,58.375,22.75,null],[238.75,77.6875,58,24.5,null],[220,78.3125,61.5,22.75,null],[205.5,78.3125,62.75,23,null],[188.75,77.75,64.75,25.5,null],[234.5,100.875,140.5,67.25,null],[256.25,100.8125,132.5,62.4375,null],[278.25,100.625,123.5,60.25,null],[301,103.25,113.5,52.25,null],[318.5,101.6875,109.5,51.8125,null],[332.5,100.3125,99,50.6875,null],[349,100.5,91.5,48.375,null],[364.5,101.75,91,45.75,null],[376,102.375,88.5,43.625,null]]",
61.1,car,"[[253,76.8125,91,42.625,null],[247,78.125,91,40.5,null],[240.125,78,95.375,41.375,null],[230.75,77.75,97.5,42.375,null],[223.125,78.25,97.875,43.75,null],[212.625,77.375,104.875,43.75,null],[204.875,76.1875,99.625,46,null],[194.25,76.0625,104,46.625,null],[288,76.0625,53,36.375,null],[284,78.5625,52.5,22.875,null],[277.5,78.5,57.5,22.5,null],[271.5,78.375,58,22.375,null],[264.25,78.75,57.5,22.25,null],[258,79,57,23,null],[253.375,78.8125,57.125,23.125,null],[244.75,78.375,58.5,23.75,null],[238.25,78.25,59,23.75,null],[230,78.25,62.5,24.25,null],[223.25,78.6875,62.25,23.75,null],[215.625,79.0625,64.125,23.75,null],[209.375,78.375,63.375,25,null],[200.75,78.5,65.25,25.25,null],[193,78.6875,65.75,25,null],[184,78.3125,67.25,25.625,null]]",
63.6,car,"[[311.25,86.75,68,29.625,null],[303,87,69.5,31,null],[291.5,86,73.5,32.5,null],[279.5,86.25,77,33,null],[270.5,86.125,77,35,null],[258,86.8125,81,35.375,null],[245.5,85.875,84.5,36.125,null],[232.5,85.9375,86.5,36.5,null],[218.25,86.0625,90.5,36.75,null],[203,86.375,93.5,37.75,null]]",
67.6,car,"[[258.25,89.5,80,32,null],[243.625,89.25,83.375,32.5,null],[228,88.625,87,34,null],[212.125,88.3125,91.875,35.375,null],[195.25,87.625,94.75,37.125,null]]",
67.1,car,"[[243,97,158,86.5,null],[259.25,97.3125,150,82.9375,null],[277.25,96.3125,143.5,80.4375,null],[290.5,100.8125,142.5,73.9375,null],[305.25,102.8125,130,68.9375,null],[319.75,101.875,120.5,66,null],[333.25,101.875,115,63.25,null],[345,101,112,63.25,null],[357.5,100.1875,108,58.6875,null],[369.5,100.25,105,56,null],[379,100.125,100,54.5,null],[387.5,99.875,97,55.375,null],[398.25,99.75,89,53.875,null],[410,101,79.5,52.5,null],[282,80.4375,53,22.125,null],[270.75,80.0625,52.5,22.125,null],[259.5,79.8125,56.5,22.375,null],[246,79.5,60.5,22.5,null],[233.125,79.8125,59.375,23.375,null],[221.625,78.5,61.125,25.5,null],[206.375,79.4375,63.625,24.875,null],[192,79.25,65.25,26,null]]",
68.8,car,"[[238.125,100.1875,110.375,56.1875,null],[250.25,98.3125,108.5,55.3125,null],[265.75,96.1875,103,53.1875,null],[278.5,97.875,101.5,47.875,null],[292.25,97.4375,95.5,46.1875,null],[305,97.125,90.5,44.75,null],[317.25,97,86,42.5,null],[330.25,97.5625,82,40.5625,null],[340.5,97.875,79,39.125,null],[351.25,98.125,74.5,36.875,null]]",
71.2,truck,"[[226.25,77.1875,102.5,43.625,null],[209.25,76.875,108,45.625,null],[191.75,77.125,113.75,46.5,null]]",
72.2,car,"[[248.75,97.6875,115.5,61.5625,null],[266.75,99.4375,109.5,54.4375,null],[282.5,98.25,104,53.75,null],[298.25,98.125,99.5,49.75,null],[312.25,98.25,96.5,47.375,null],[325.5,99.1875,90.5,45.0625,null],[339.5,99.125,84.5,43.125,null],[353,100.625,79,39.125,null],[365.75,100.125,75,37.5,null]]",
76.9,car,"[[243.5,100.8125,124,63.0625,null],[258.25,100.4375,116.5,60.6875,null],[269.75,99,114.5,58,null],[282,99.1875,109,56.1875,null],[291.5,99.625,107,53.25,null],[302.5,100.125,100.5,50.75,null],[313.25,100.125,97,48.375,null],[322.75,100.1875,92.5,46.8125,null],[332.25,100.125,88.5,45.5,null],[339,100.1875,87,43.9375,null],[349,100.625,82,42.25,null],[355.25,100.125,80,42.125,null],[362.5,99.875,78,41,null],[370,100.3125,76.5,39.1875,null]]",
83.9,car,"[[283,79.25,53,23.375,null],[282.5,80.125,52,22.75,null],[280.75,80.4375,52.5,22.625,null],[279,80.0625,53,23.125,null],[278,80.3125,51.5,22.625,null],[276.25,80.5,52,22.5,null],[273.25,80.75,50,21.75,null],[270.75,80.4375,51,22.125,null],[269.5,80.4375,51,22,null],[267,80,51.5,22.5,null],[263.75,79.6875,53.5,23,null],[262.25,79.25,53,22.5,null],[260,79.25,54,22.875,null],[256.5,79.4375,56,22.875,null],[254.375,79.1875,54.125,22.875,null],[251.75,79.375,55,23,null],[247.375,79,55.625,23,null],[245.125,79.1875,55.875,23.125,null],[241.25,79,57,23.375,null],[238.25,79.0625,56.5,23.625,null],[236.375,79.5,55.625,23,null],[230.75,79.3125,57,24.125,null],[229,79.3125,57,24.125,null],[225,79,58.75,24.5,null],[221.875,79,58.125,24.25,null],[216.5,79,59.5,24.25,null],[213.25,78.4375,58.75,25.125,null],[209,78.625,60.25,25.375,null],[205.875,78.375,60.125,25.5,null],[200.625,78.6875,61.625,25.375,null],[197.5,78.375,61.75,25.5,null],[193.5,78.5,62.5,25.75,null],[190.125,79.0625,62,25.125,null],[185.5,79.125,63.75,25.125,null]]",
105.4,truck,"[[246.375,92.75,123.375,65.75,null],[263.25,86.1875,112.5,69.5625,null],[274.75,85.375,111.5,67.75,null],[291.25,86.4375,102.5,61.8125,null],[306,88.3125,97,58.1875,null],[315,88.4375,97.5,58.5625,null],[329.25,89.0625,91,54.0625,null],[342,89.1875,83,51.6875,null],[354.25,90.5,77.5,47.625,null],[363.5,88.25,76,47.75,null]]",
105.4,car,"[[258.75,97.9375,133.5,57.0625,null],[294,99.3125,121,53.4375,null],[323,100.75,112,50.25,null],[350.5,100.625,105.5,48.125,null],[370.75,101.875,101,44.75,null],[392.75,100.5,95,47.625,null]]",
